imsi,date,recordcount
20201-Cosmote Mobile Telecom-GRCCO,22-05-2018,13897
20205-Vodafone Greece-GRCPF,22-05-2018,146
20209-Wind Greece (Q-Telecom)-GRCQT,22-05-2018,175
20210-Stet Hellas Telecommunications-GRCSH,22-05-2018,4509
20404-Vodafone Netherlands-NLDLT,22-05-2018,12046
20408-KPN Tel Netherlands -NLDPT,22-05-2018,6127
20412-Telfort-NLDTM,22-05-2018,384
20416-T-Mobile Netherlands-NLDPN,22-05-2018,42792
20420-Orange Netherlands-NLDDT,22-05-2018,16
20601-Belgacom Mobile -BELTB,22-05-2018,3123
20610-Mobistar-BELMO,22-05-2018,11446
20620-Base-BELKO,22-05-2018,498
20801-Orange France-FRAF1,22-05-2018,151585
20810-SFR France-FRAF2,22-05-2018,5
20815-Free Mobile -FRAF5,22-05-2018,2023
20815-France Free Mobile-FRAFM,22-05-2018,2023
20820-Bouygues Telecom-FRAF3,22-05-2018,43972
21401-Vodafone Espaqa-ESPAT,22-05-2018,594
21403-Amena-ESPRT,22-05-2018,33179
21404-Xfera Moviles-ESPXF,22-05-2018,4496
21407-Telefonica Moviles-ESPTE,22-05-2018,6253
21421-Jazztel Spain -ESPJZ,22-05-2018,515
21601-Pannon GSM-HUNH1,22-05-2018,4573
21630-Westel 900 GSM-HUNH2,22-05-2018,10500
21670-Vodafone Hungary-HUNVR,22-05-2018,57
21803-Eronet-BIHER,22-05-2018,7
21805-MOBIS-BIHMS,22-05-2018,4
21901-HT Mobile-HRVCN,22-05-2018,2684
21902-Tele2  (Croatia)-HRVT2,22-05-2018,192
21910-VIP Net GSM -HRVVI,22-05-2018,40
22001-Mobtel-YUGMT,22-05-2018,40
22003-Telekom Srbija-YUGTS,22-05-2018,325
22201-TIM Italy -ITASI,22-05-2018,17729
22210-Vodafone Omnitel-ITAOM,22-05-2018,1175
22288-Wind Italy-ITAWI,22-05-2018,16395
22299-Hutchinson 3G - Italy-ITAH3,22-05-2018,742
22601-Mobifon -ROMMF,22-05-2018,1195
22603-Cosmorom-ROMCS,22-05-2018,17457
22610-Orange Romania-ROMMR,22-05-2018,65147
22801-Swisscom-CHEC1,22-05-2018,13005
22802-sunrise-CHEDX,22-05-2018,5276
22803-Orange Switzerland-CHEOR,22-05-2018,5144
23001-T-Mobile Czech-CZERM,22-05-2018,15241
23002-Eurotel Praha -CZEET,22-05-2018,333
23003-Cesky Mobil -CZECM,22-05-2018,862
23101-Orange Slovakia-SVKGT,22-05-2018,6745
23102-Eurotel Bratislava-SVKET,22-05-2018,4288
23106-Telefonica o2-SVKO2,22-05-2018,73
23201-Mobilkom Austria-AUTPT,22-05-2018,2336
23203-T-Mobile Austria-AUTMM,22-05-2018,5121
23205-Connect -AUTCA,22-05-2018,86
23207-Tele Ring Telekom -AUTTR,22-05-2018,1422
23403-Airtel-GBRAJ,22-05-2018,585
23410-02 UK-GBRCN,22-05-2018,78
23415-Vodafone UK-GBRVF,22-05-2018,50
23418-Cloud 9-GBRC9,22-05-2018,36
23420-3 UK-GBRHU,22-05-2018,31
23450-Jersey Telecoms -GBRJT,22-05-2018,1857
23455-Guernsey Telecom-GBRGT,22-05-2018,2523
23458-Manx Telecom-GBRMT,22-05-2018,5011
23801-Tele Danmark Mobil-DNKTD,22-05-2018,10323
23802-Sonofon -DNKDM,22-05-2018,6733
23806-Hi3G - Denmark-DNKHU,22-05-2018,28
23820-Telia Mobile (Denmark)-DNKIA,22-05-2018,5745
24001-Telia Mobitel (Sweden)-SWETR,22-05-2018,13825
24002-HI 3G-SWEHU,22-05-2018,19
24007-Tele2 AB-SWEIQ,22-05-2018,9313
24008-Vodafone Sweden-SWEEP,22-05-2018,6039
24010-Tele2-SWESM,22-05-2018,2
24201-Telenor Mobil -NORTM,22-05-2018,21382
24202-NetCom-NORNC,22-05-2018,8814
24205-Telia Norge Norway-NORNN,22-05-2018,2357
24405-Radiolinja Finland-FINRL,22-05-2018,94
24412-Finnish 2G-FIN2G,22-05-2018,402
24421-Elisa (2nd code)-FINES,22-05-2018,7
24491-Sonera Corporation-FINTF,22-05-2018,3717
24601-Omnitel Lithuania-LTUOM,22-05-2018,6207
24602-Bite GSM-LTUMT,22-05-2018,15
24603-Tele2-LTU03,22-05-2018,8393
24701-Latvian Mobile Telephone-LVALM,22-05-2018,6859
24702-Baltcom GSM -LVABC,22-05-2018,4786
24801-Estonian Mob Tel-ESTEM,22-05-2018,1821
