imsi_prefix,date,Incoming data,Records count 
20201-Cosmote Mobile Telecom-GRCCO,19-05-2018,158888,16121                      
20205-Vodafone Greece-GRCPF,19-05-2018,491,195                                  
20210-Stet Hellas Telecommunications-GRCSH,19-05-2018,24404,2382                
20404-Vodafone Netherlands-NLDLT,19-05-2018,23813,444521                        
20408-KPN Tel Netherlands -NLDPT,19-05-2018,472355,619494                       
20412-Telfort-NLDTM,19-05-2018,13520,1559                                       
20416-T-Mobile Netherlands-NLDPN,19-05-2018,983359,51670                        
20420-Orange Netherlands-NLDDT,19-05-2018,32,12                                 
20601-Belgacom Mobile -BELTB,19-05-2018,53201,8741                              
20610-Mobistar-BELMO,19-05-2018,303539,70580                                    
20620-Base-BELKO,19-05-2018,10997,1366                                          
20801-Orange France-FRAF1,19-05-2018,3744763,416728                             
20810-SFR France-FRAF2,19-05-2018,1,2                                           
20815-Free Mobile -FRAF5,19-05-2018,20222,2790                                  
20815-France Free Mobile-FRAFM,19-05-2018,20222,2790                            
20820-Bouygues Telecom-FRAF3,19-05-2018,1027203,79949                           
21401-Vodafone Espaqa-ESPAT,19-05-2018,23755,3858                               
21403-Amena-ESPRT,19-05-2018,1625075,118678                                     
21404-Xfera Moviles-ESPXF,19-05-2018,338752,18314                               
21407-Telefonica Moviles-ESPTE,19-05-2018,82970,64267                           
21421-Jazztel Spain -ESPJZ,19-05-2018,19857,1931                                
21601-Pannon GSM-HUNH1,19-05-2018,91176,6972                                    
21630-Westel 900 GSM-HUNH2,19-05-2018,266786,20303                              
21670-Vodafone Hungary-HUNVR,19-05-2018,3149,179                                
21901-HT Mobile-HRVCN,19-05-2018,74365,3857                                     
21910-VIP Net GSM -HRVVI,19-05-2018,154,65                                      
22001-Mobtel-YUGMT,19-05-2018,39,13                                             
22003-Telekom Srbija-YUGTS,19-05-2018,97,18                                     
22201-TIM Italy -ITASI,19-05-2018,720201,53438                                  
22210-Vodafone Omnitel-ITAOM,19-05-2018,28687,5104                              
22288-Wind Italy-ITAWI,19-05-2018,685174,64013                                  
22299-Hutchinson 3G - Italy-ITAH3,19-05-2018,23819,4532                         
22601-Mobifon -ROMMF,19-05-2018,6941,1497                                       
22603-Cosmorom-ROMCS,19-05-2018,191479,9573                                     
22610-Orange Romania-ROMMR,19-05-2018,702842,40995                              
22801-Swisscom-CHEC1,19-05-2018,336637,30543                                    
22802-sunrise-CHEDX,19-05-2018,53442,8908                                       
22803-Orange Switzerland-CHEOR,19-05-2018,96169,8903                            
23001-T-Mobile Czech-CZERM,19-05-2018,248336,13473                              
23002-Eurotel Praha -CZEET,19-05-2018,2372,383                                  
23003-Cesky Mobil -CZECM,19-05-2018,7280,702                                    
23101-Orange Slovakia-SVKGT,19-05-2018,67843,5113                               
23102-Eurotel Bratislava-SVKET,19-05-2018,64414,4653                            
23106-Telefonica o2-SVKO2,19-05-2018,1166,219                                   
23201-Mobilkom Austria-AUTPT,19-05-2018,98748,8536                              
23203-T-Mobile Austria-AUTMM,19-05-2018,164314,553459                           
23205-Connect -AUTCA,19-05-2018,1672,566                                        
23207-Tele Ring Telekom -AUTTR,19-05-2018,62330,6129                            
23403-Airtel-GBRAJ,19-05-2018,797,102                                           
23418-Cloud 9-GBRC9,19-05-2018,4,40                                             
23450-Jersey Telecoms -GBRJT,19-05-2018,20209,138585                            
23455-Guernsey Telecom-GBRGT,19-05-2018,1114,1062                               
23458-Manx Telecom-GBRMT,19-05-2018,22961,87112                                 
23801-Tele Danmark Mobil-DNKTD,19-05-2018,446495,22440                          
23802-Sonofon -DNKDM,19-05-2018,263586,160164                                   
23806-Hi3G - Denmark-DNKHU,19-05-2018,1892,154                                  
23820-Telia Mobile (Denmark)-DNKIA,19-05-2018,294295,16011                      
24001-Telia Mobitel (Sweden)-SWETR,19-05-2018,750162,40094                      
24002-HI 3G-SWEHU,19-05-2018,244,132                                            
24007-Tele2 AB-SWEIQ,19-05-2018,398439,69395                                    
24008-Vodafone Sweden-SWEEP,19-05-2018,217565,155964                            
24010-Tele2-SWESM,19-05-2018,1,1                                                
24042-Sweden Telenor-SWECN,19-05-2018,14,7252                                   
24201-Telenor Mobil -NORTM,19-05-2018,1157800,97221                             
24202-NetCom-NORNC,19-05-2018,462486,50596                                      
24205-Telia Norge Norway-NORNN,19-05-2018,110766,20619                          
24405-Radiolinja Finland-FINRL,19-05-2018,3018,541                              
24412-Finnish 2G-FIN2G,19-05-2018,9895,9347                                     
24421-Elisa (2nd code)-FINES,19-05-2018,505,44                                  
24491-Sonera Corporation-FINTF,19-05-2018,237172,9651                           
24601-Omnitel Lithuania-LTUOM,19-05-2018,62595,6354                             
24602-Bite GSM-LTUMT,19-05-2018,1,3                                             
24603-Tele2-LTU03,19-05-2018,94537,13059                                        
24701-Latvian Mobile Telephone-LVALM,19-05-2018,85054,9654                      
24702-Baltcom GSM -LVABC,19-05-2018,52528,4555                                  
24801-Estonian Mob Tel-ESTEM,19-05-2018,67245,3450                              
24802-Radiolinja Estonia-ESTRE,19-05-2018,1842,121                              
24803-Estonia Ritabell (Tele2)-ESTRB,19-05-2018,22447,10787                     
25001-MTS-RUS01,19-05-2018,11064,1117                                           
25002-MegaFon -RUSNW,19-05-2018,3494,752                                        
25099-VimpelCom-RUSBD,19-05-2018,18030,11300                                    
25501-Ukraine Mobile Communications-UKRUM,19-05-2018,39,23                      
25503-Kyvistar GSM-UKRKS,19-05-2018,8699,1507                                   
25506-Astelit LLC-UKRAS,19-05-2018,2297,119                                     
25901-Voxtel-MDAVX,19-05-2018,93,20                                             
26001-Polkomtel -POLKM,19-05-2018,238962,15480                                  
26002-Era -POL02,19-05-2018,420638,28784                                        
26003-PTK Centeltel -POL03,19-05-2018,744146,60529                              
26006-P4 - 3G Poland-POLP4,19-05-2018,67,948                                    
