imsi_prefix,date,Incoming data,Outgoing data,cdrs
20201-Cosmote Mobile Telecom-GRCCO,11-05-2018,119935,26001,18431
20205-Vodafone Greece-GRCPF,11-05-2018,568,206,231
20210-Stet Hellas Telecommunications-GRCSH,11-05-2018,20644,3528,2757
20404-Vodafone Netherlands-NLDLT,11-05-2018,16389,8275,507550
20408-KPN Tel Netherlands -NLDPT,11-05-2018,490747,126289,792521
20412-Telfort-NLDTM,11-05-2018,7797,1955,1431
20416-T-Mobile Netherlands-NLDPN,11-05-2018,910635,177602,64550
20420-Orange Netherlands-NLDDT,11-05-2018,16,27,28
20601-Belgacom Mobile -BELTB,11-05-2018,48623,10985,10665
20610-Mobistar-BELMO,11-05-2018,283244,54487,97376
20620-Base-BELKO,11-05-2018,18686,3230,3353
20801-Orange France-FRAF1,11-05-2018,3654881,547465,488787
20810-SFR France-FRAF2,11-05-2018,0,0,5
20820-Bouygues Telecom-FRAF3,11-05-2018,1004359,143193,102056
21401-Vodafone Espaqa-ESPAT,11-05-2018,13912,2731,4260
21403-Amena-ESPRT,11-05-2018,1199237,185883,115809
21404-Xfera Moviles-ESPXF,11-05-2018,258196,44511,15390
21407-Telefonica Moviles-ESPTE,11-05-2018,58804,10995,71387
21421-Jazztel Spain -ESPJZ,11-05-2018,11113,1896,1729
21601-Pannon GSM-HUNH1,11-05-2018,62116,11801,7123
21630-Westel 900 GSM-HUNH2,11-05-2018,183129,30567,16569
21670-Vodafone Hungary-HUNVR,11-05-2018,337,49,161
21901-HT Mobile-HRVCN,11-05-2018,48304,9030,5206
21910-VIP Net GSM -HRVVI,11-05-2018,188,29,83
22001-Mobtel-YUGMT,11-05-2018,4,2,2
22003-Telekom Srbija-YUGTS,11-05-2018,54,48,31
22201-TIM Italy -ITASI,11-05-2018,509956,82504,48831
22210-Vodafone Omnitel-ITAOM,11-05-2018,17528,4069,4966
22288-Wind Italy-ITAWI,11-05-2018,491011,72820,59851
22299-Hutchinson 3G - Italy-ITAH3,11-05-2018,19096,3408,4132
22601-Mobifon -ROMMF,11-05-2018,9178,1317,1468
22603-Cosmorom-ROMCS,11-05-2018,122978,21362,9621
22610-Orange Romania-ROMMR,11-05-2018,519741,93581,37211
22801-Swisscom-CHEC1,11-05-2018,285167,66399,37918
22802-sunrise-CHEDX,11-05-2018,37933,9268,9505
22803-Orange Switzerland-CHEOR,11-05-2018,77245,21046,9686
23001-T-Mobile Czech-CZERM,11-05-2018,218762,31061,15456
23002-Eurotel Praha -CZEET,11-05-2018,1020,118,415
23003-Cesky Mobil -CZECM,11-05-2018,7173,1106,873
23101-Orange Slovakia-SVKGT,11-05-2018,56938,10101,5505
23102-Eurotel Bratislava-SVKET,11-05-2018,47332,9761,5067
23106-Telefonica o2-SVKO2,11-05-2018,1027,95,237
23201-Mobilkom Austria-AUTPT,11-05-2018,1056,259,2542
23203-T-Mobile Austria-AUTMM,11-05-2018,135020,30152,632228
23205-Connect -AUTCA,11-05-2018,3347,584,960
23207-Tele Ring Telekom -AUTTR,11-05-2018,40771,8132,6508
23401-MCOM UK-GBRYC,11-05-2018,3394064,324977,142146
23403-Airtel-GBRAJ,11-05-2018,724,194,197
23418-Cloud 9-GBRC9,11-05-2018,10,5,43
